date,bh,fixed_50_200,wf_anchored_calmar,wf_rolling5y_calmar
2007-06-26,1.203969,1.038975,1.067212,1.067212
2007-06-27,1.230981,1.062285,1.091156,1.091156
2007-06-28,1.219405,1.052295,1.080894,1.080894
2007-06-29,1.209482,1.043732,1.072099,1.072099
2007-07-02,1.225469,1.057528,1.086269,1.086269
2007-07-03,1.228776,1.060383,1.089201,1.089201
2007-07-05,1.236494,1.067043,1.096042,1.096042
2007-07-06,1.246968,1.076081,1.105327,1.105327
2007-07-09,1.255788,1.083693,1.113145,1.113145
2007-07-10,1.245865,1.075130,1.104349,1.104349
2007-07-11,1.244763,1.074178,1.103372,1.103372
2007-07-12,1.277839,1.102722,1.132691,1.132691
2007-07-13,1.275634,1.100819,1.130737,1.130737
2007-07-16,1.282800,1.107003,1.137089,1.137089
2007-07-17,1.302646,1.124129,1.154680,1.154680
2007-07-18,1.279493,1.104149,1.134157,1.134157
2007-07-19,1.288313,1.111760,1.141975,1.141975
2007-07-20,1.272878,1.098440,1.128293,1.128293
2007-07-23,1.272878,1.098440,1.128293,1.128293
2007-07-24,1.246968,1.076081,1.105327,1.105327
2007-07-25,1.249724,1.078460,1.107770,1.107770
2007-07-26,1.228225,1.059907,1.088713,1.088713
2007-07-27,1.208379,1.042781,1.071121,1.071121
2007-07-30,1.229879,1.061334,1.090179,1.090179
2007-07-31,1.210033,1.044208,1.072587,1.072587
2007-08-01,1.216648,1.049917,1.078451,1.078451
2007-08-02,1.217200,1.050392,1.078940,1.078940
2007-08-03,1.181367,1.019471,1.047177,1.047177
2007-08-06,1.196803,1.032791,1.060860,1.060860
2007-08-07,1.195700,1.031839,1.059882,1.059882
2007-08-08,1.222712,1.055150,1.083826,1.083826
2007-08-09,1.213892,1.047538,1.076008,1.076008
2007-08-10,1.206725,1.041354,1.069655,1.069655
2007-08-13,1.202867,1.038024,1.066235,1.066235
2007-08-14,1.187431,1.024703,1.052553,1.052553
2007-08-15,1.154906,0.996636,1.023722,1.023722
2007-08-16,1.153804,0.995684,1.022745,1.022745
2007-08-17,1.173649,1.012810,1.040336,1.040336
2007-08-20,1.187431,1.024703,1.052553,1.052553
2007-08-21,1.196803,1.032791,1.060860,1.060860
2007-08-22,1.205072,1.039927,1.068189,1.068189
2007-08-23,1.194046,1.030412,1.058416,1.058416
2007-08-24,1.211136,1.045159,1.073564,1.073564
2007-08-27,1.200662,1.036121,1.064280,1.064280
2007-08-28,1.169239,1.009005,1.036427,1.036427
2007-08-29,1.202867,1.038024,1.066235,1.066235
2007-08-30,1.204520,1.039451,1.067701,1.067701
2007-08-31,1.226571,1.058480,1.087247,1.087247
2007-09-04,1.248071,1.077033,1.106304,1.106304
2007-09-05,1.235391,1.066091,1.095065,1.095065
2007-09-06,1.245865,1.075130,1.104349,1.104349
2007-09-07,1.213892,1.047538,1.076008,1.076008
2007-09-10,1.216648,1.049917,1.078451,1.078451
2007-09-11,1.231533,1.062761,1.091645,1.091645
2007-09-12,1.212789,1.046587,1.075030,1.075030
2007-09-13,1.208379,1.042781,1.071121,1.071121
2007-09-14,1.200662,1.036121,1.064280,1.064280
2007-09-17,1.196803,1.032791,1.060860,1.060860
2007-09-18,1.232635,1.063713,1.092622,1.092622
2007-09-19,1.238148,1.068470,1.097508,1.097508
2007-09-20,1.238699,1.068946,1.097997,1.097997
2007-09-21,1.244212,1.073703,1.102883,1.102883
2007-09-24,1.240904,1.070848,1.099952,1.099952
2007-09-25,1.248071,1.077033,1.106304,1.106304
2007-09-26,1.242007,1.071800,1.100929,1.100929
2007-09-27,1.246417,1.075606,1.104838,1.104838
2007-09-28,1.239802,1.069897,1.098974,1.098974
2007-10-01,1.265711,1.092256,1.121941,1.121941
2007-10-02,1.268467,1.094634,1.124384,1.124384
2007-10-03,1.240904,1.070848,1.099952,1.099952
2007-10-04,1.238699,1.068946,1.099573,1.099573
2007-10-05,1.259647,1.087023,1.099744,1.099744
2007-10-08,1.261301,1.088450,1.099915,1.099915
2007-10-09,1.251929,1.080363,1.100086,1.100086
2007-10-10,1.249173,1.077984,1.100257,1.100257
2007-10-11,1.222161,1.054674,1.100429,1.100429
2007-10-12,1.237045,1.067518,1.100600,1.100600
2007-10-15,1.237045,1.067518,1.100771,1.100771
2007-10-16,1.235391,1.066091,1.098750,1.098750
2007-10-17,1.257993,1.085596,1.118852,1.118852
2007-10-18,1.258545,1.086072,1.119342,1.119342
2007-10-19,1.221610,1.054198,1.086493,1.086493
2007-10-22,1.232635,1.063713,1.096299,1.096299
2007-10-23,1.235391,1.066091,1.098750,1.098750
2007-10-24,1.197354,1.033266,1.064920,1.064920
2007-10-25,1.157663,0.999015,1.029619,1.029619
2007-10-26,1.161521,1.002345,1.033051,1.033051
2007-10-29,1.172547,1.011859,1.042856,1.042856
2007-10-30,1.176957,1.015665,1.046779,1.046779
2007-10-31,1.187982,1.025179,1.056585,1.056585
2007-11-01,1.168137,1.008053,1.038934,1.038934
2007-11-02,1.176406,1.015189,1.038576,1.038576
2007-11-05,1.170893,1.010432,1.038738,1.038738
2007-11-06,1.187431,1.024703,1.038900,1.038900
2007-11-07,1.156009,0.997587,1.039061,1.039061
2007-11-08,1.139471,0.983316,1.039223,1.039223
2007-11-09,1.129548,0.974753,1.039385,1.039385
2007-11-12,1.100331,0.949540,1.039547,1.039547
2007-11-13,1.125138,0.970947,1.039708,1.039708
2007-11-14,1.116869,0.963811,1.039870,1.039870
2007-11-15,1.110254,0.958103,1.040032,1.040032
2007-11-16,1.102536,0.951442,1.040194,1.040194
2007-11-19,1.082690,0.934316,1.040356,1.040356
2007-11-20,1.069460,0.922899,1.040518,1.040518
2007-11-21,1.047960,0.904346,1.040680,1.040680
2007-11-23,1.063396,0.917666,1.040842,1.040842
2007-11-26,1.036384,0.894356,1.041004,1.041004
2007-11-27,1.058434,0.913385,1.041166,1.041166
2007-11-28,1.103087,0.951918,1.041328,1.041328
2007-11-29,1.102536,0.951590,1.041490,1.041490
2007-11-30,1.086549,0.951738,1.041652,1.041652
2007-12-03,1.085447,0.951887,1.041814,1.041814
2007-12-04,1.077178,0.952035,1.041976,1.041976
2007-12-05,1.108049,0.952183,1.042138,1.042138
2007-12-06,1.126792,0.952331,1.042301,1.042301
2007-12-07,1.125138,0.952479,1.042463,1.042463
2007-12-10,1.134509,0.952628,1.042625,1.042625
2007-12-11,1.112459,0.952776,1.042787,1.042787
2007-12-12,1.126240,0.952924,1.042950,1.042950
2007-12-13,1.115766,0.953072,1.043112,1.043112
2007-12-14,1.103638,0.953221,1.043274,1.043274
2007-12-17,1.079383,0.953369,1.043437,1.043437
2007-12-18,1.084344,0.953518,1.043599,1.043599
2007-12-19,1.087100,0.953666,1.043762,1.043762
2007-12-20,1.101433,0.953814,1.043924,1.043924
2007-12-21,1.115766,0.953963,1.044087,1.044087
2007-12-24,1.127343,0.954111,1.044249,1.044249
2007-12-26,1.129548,0.954260,1.044412,1.044412
2007-12-27,1.104741,0.954408,1.044574,1.044574
2007-12-28,1.100882,0.954557,1.044737,1.044737
2007-12-31,1.091510,0.954706,1.044899,1.044899
2008-01-02,1.062293,0.954854,1.045062,1.045062
2008-01-03,1.049614,0.955003,1.045225,1.045225
2008-01-04,0.999449,0.955151,1.045387,1.045387
2008-01-07,0.975193,0.955300,1.045550,1.045550
2008-01-08,0.952591,0.955449,1.045713,1.045713
2008-01-09,0.958655,0.955597,1.045876,1.045876
2008-01-10,0.962514,0.955746,1.046038,1.046038
2008-01-11,0.932194,0.955895,1.046201,1.046201
2008-01-14,0.960860,0.956044,1.046364,1.046364
2008-01-15,0.924476,0.956193,1.046527,1.046527
2008-01-16,0.912900,0.956341,1.046690,1.046690
2008-01-17,0.895810,0.956490,1.046853,1.046853
2008-01-18,0.919515,0.956639,1.047016,1.047016
2008-01-22,0.902426,0.956788,1.047179,1.047179
2008-01-23,0.923374,0.956937,1.047342,1.047342
2008-01-24,0.949835,0.957086,1.047505,1.047505
2008-01-25,0.930540,0.957235,1.047668,1.047668
2008-01-28,0.942668,0.957384,1.047831,1.047831
2008-01-29,0.944322,0.957533,1.047994,1.047994
2008-01-30,0.943771,0.957682,1.048157,1.048157
2008-01-31,0.941014,0.957831,1.048320,1.048320
2008-02-01,0.991180,0.957980,1.048483,1.048483
2008-02-04,0.973539,0.958129,1.048647,1.048647
2008-02-05,0.931092,0.958278,1.048810,1.048810
2008-02-06,0.907387,0.958427,1.048973,1.048973
2008-02-07,0.916207,0.958577,1.049136,1.049136
2008-02-08,0.926681,0.958726,1.049300,1.049300
2008-02-11,0.948181,0.958875,1.049463,1.049463
2008-02-12,0.943771,0.959024,1.049626,1.049626
2008-02-13,0.978501,0.959174,1.049790,1.049790
2008-02-14,0.945424,0.959323,1.049953,1.049953
2008-02-15,0.928335,0.959472,1.050116,1.050116
