date,close,bh_equity,flagship_equity,flagship_position,bh_drawdown,flagship_drawdown
2004-10-15,35.6300,0.697458,1.566045,0,-0.697743,-0.100524
2004-10-18,36.1400,0.707441,1.566289,0,-0.693417,-0.100384
2004-10-19,35.8800,0.702351,1.566533,0,-0.695623,-0.100244
2004-10-20,36.0500,0.705679,1.566777,0,-0.694181,-0.100104
2004-10-21,36.6000,0.716445,1.567020,0,-0.689515,-0.099964
2004-10-22,35.8000,0.700785,1.567264,0,-0.696301,-0.099824
2004-10-25,35.6300,0.697458,1.567508,0,-0.697743,-0.099684
2004-10-26,35.8200,0.701177,1.567752,0,-0.696132,-0.099543
2004-10-27,36.7300,0.718990,1.567996,0,-0.688412,-0.099403
2004-10-28,36.9600,0.723492,1.568240,0,-0.686461,-0.099263
2004-10-29,36.9000,0.722318,1.568484,0,-0.686970,-0.099123
2004-11-01,37.0400,0.725058,1.568729,0,-0.685782,-0.098983
2004-11-02,37.1600,0.727407,1.568973,0,-0.684764,-0.098842
2004-11-03,37.4100,0.732301,1.569217,0,-0.682643,-0.098702
2004-11-04,37.6200,0.736412,1.569461,0,-0.680862,-0.098562
2004-11-05,37.9600,0.743067,1.569705,0,-0.677978,-0.098422
2004-11-08,38.0000,0.743850,1.569950,0,-0.677638,-0.098281
2004-11-09,37.9200,0.742284,1.570194,0,-0.678317,-0.098141
2004-11-10,37.7900,0.739740,1.564029,1,-0.679420,-0.101682
2004-11-11,38.2900,0.749527,1.584722,1,-0.675178,-0.089796
2004-11-12,38.6600,0.756770,1.600036,1,-0.672039,-0.081001
2004-11-15,38.8300,0.760098,1.607072,1,-0.670597,-0.076960
2004-11-16,38.5900,0.755400,1.597139,1,-0.672633,-0.082665
2004-11-17,39.1100,0.765579,1.618660,1,-0.668222,-0.070304
2004-11-18,39.2900,0.769102,1.626110,1,-0.666695,-0.066025
2004-11-19,38.6800,0.757161,1.600863,1,-0.671870,-0.080526
2004-11-22,39.0500,0.764404,1.616177,1,-0.668731,-0.071730
2004-11-23,38.9900,0.763230,1.613694,1,-0.669240,-0.073157
2004-11-24,39.3300,0.769885,1.627765,1,-0.666356,-0.065074
2004-11-26,39.2100,0.767536,1.622799,1,-0.667374,-0.067927
2004-11-29,39.2000,0.767340,1.622385,1,-0.667458,-0.068165
2004-11-30,39.1200,0.765774,1.619074,1,-0.668137,-0.070066
2004-12-01,39.9200,0.781434,1.652184,1,-0.661351,-0.051049
2004-12-02,40.0700,0.784371,1.658392,1,-0.660078,-0.047484
2004-12-03,40.1300,0.785545,1.660875,1,-0.659569,-0.046057
2004-12-06,40.2700,0.788286,1.666669,1,-0.658381,-0.042729
2004-12-07,39.5800,0.774779,1.638112,1,-0.664235,-0.059131
2004-12-08,39.8100,0.779281,1.647631,1,-0.662284,-0.053664
2004-12-09,40.0500,0.783979,1.657564,1,-0.660248,-0.047959
2004-12-10,39.9300,0.781630,1.652598,1,-0.661266,-0.050812
2004-12-13,40.2800,0.788481,1.667083,1,-0.658297,-0.042492
2004-12-14,40.4800,0.792396,1.675361,1,-0.656600,-0.037737
2004-12-15,40.3300,0.789460,1.669153,1,-0.657872,-0.041303
2004-12-16,39.9500,0.782022,1.653425,1,-0.661096,-0.050336
2004-12-17,39.4800,0.772821,1.633973,1,-0.665083,-0.061509
2004-12-20,39.2000,0.767340,1.622385,1,-0.667458,-0.068165
2004-12-21,39.6800,0.776736,1.642251,1,-0.663386,-0.056754
2004-12-22,39.7300,0.777715,1.644320,1,-0.662962,-0.055566
