"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (30,C,ma,0)","MA ma (2,C,ma,0)","MA ma (40,C,ma,0)","MA ma (60,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","MA ma (13,O,ma,0)","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"2026-02-25T05:00:00.000Z","611.07","616.83","611.00","616.68","55,710,653","-11.35","614.65","612.28","616.18","617.19","-2.94","-3.54","0.5973","606.00","21.25","20.36","17.93"
"2026-02-26T05:00:00.000Z","615.59","615.59","603.98","609.24","96,178,870","-53.38","614.09","612.96","615.89","617.03","-2.68","-3.37","0.6869","607.19","19.34","23.50","17.35"
"2026-02-27T05:00:00.000Z","602.98","608.32","602.19","607.29","68,125,197","-80.11","613.68","608.27","615.58","616.86","-2.60","-3.21","0.6133","606.84","18.35","23.60","17.00"
"2026-03-02T05:00:00.000Z","598.86","609.92","597.99","608.09","75,264,644","-80.53","613.22","607.69","615.43","616.63","-2.44","-3.06","0.6154","605.57","16.79","24.59","17.13"
"2026-03-03T05:00:00.000Z","596.33","603.96","591.87","601.58","97,015,532","-121.89","612.57","604.84","615.14","616.26","-2.81","-3.01","0.1968","604.03","14.93","26.04","17.85"
"2026-03-04T05:00:00.000Z","604.16","612.88","603.43","610.75","70,943,888","-43.11","612.66","606.17","614.96","616.06","-2.34","-2.87","0.5368","603.22","19.84","24.04","17.26"
"2026-03-05T05:00:00.000Z","607.40","612.76","602.26","608.91","89,602,407","-48.65","612.41","609.83","614.60","615.78","-2.09","-2.72","0.6305","603.75","18.43","23.12","16.83"
"2026-03-06T05:00:00.000Z","600.31","606.00","598.33","599.75","86,302,307","-95.34","611.71","604.33","613.99","615.38","-2.60","-2.69","0.0964","603.90","17.10","24.13","16.85"
"2026-03-09T04:00:00.000Z","594.23","609.27","591.33","607.76","93,068,170","-80.55","611.21","603.76","613.67","615.09","-2.33","-2.62","0.2923","603.30","15.12","25.86","17.51"
"2026-03-10T04:00:00.000Z","607.78","613.29","605.42","607.77","64,078,867","-31.79","610.62","607.77","613.20","614.76","-2.09","-2.51","0.4243","603.68","16.99","24.51","17.56"
"2026-03-11T04:00:00.000Z","608.95","612.43","605.03","607.69","60,114,800","-32.93","609.84","607.73","612.71","614.46","-1.89","-2.39","0.5026","604.36","16.14","23.55","17.64"
"2026-03-12T04:00:00.000Z","602.76","604.14","597.05","597.26","71,836,629","-102.39","608.64","602.48","611.99","614.19","-2.54","-2.42","-0.1185","604.06","14.98","27.25","18.45"
"2026-03-13T04:00:00.000Z","599.73","603.60","592.57","593.72","63,145,490","-120.38","607.45","595.49","611.34","613.91","-3.30","-2.59","-0.7055","603.86","13.87","28.24","19.57"
"2026-03-16T04:00:00.000Z","600.04","603.86","599.11","600.38","49,077,155","-80.61","606.74","597.05","610.81","613.72","-3.33","-2.74","-0.5877","603.01","13.09","26.31","20.57"
"2026-03-17T04:00:00.000Z","603.14","605.90","601.87","603.31","47,106,607","-56.57","605.97","601.85","610.36","613.76","-3.08","-2.81","-0.2711","602.05","14.01","25.29","21.15"
"2026-03-18T04:00:00.000Z","601.49","603.16","594.56","594.90","56,127,962","-104.95","605.25","599.11","610.03","613.53","-3.52","-2.95","-0.5696","601.94","13.15","28.89","22.31"
"2026-03-19T04:00:00.000Z","589.51","595.80","587.08","593.02","75,597,578","-145.17","604.83","593.96","609.45","613.13","-3.98","-3.16","-0.8199","601.22","12.33","32.43","23.93"
"2026-03-20T04:00:00.000Z","591.06","591.17","578.54","582.06","91,964,677","-202.60","604.33","587.54","608.48","612.51","-5.16","-3.56","-1.60","600.81","11.10","35.09","25.93"
"2026-03-23T04:00:00.000Z","590.52","595.08","585.96","588.00","89,936,118","-149.20","603.61","585.03","607.61","611.94","-5.56","-3.96","-1.60","599.76","12.77","31.99","27.14"
"2026-03-24T04:00:00.000Z","584.81","587.93","581.93","583.98","57,750,895","-185.07","602.60","585.99","606.57","611.27","-6.13","-4.39","-1.73","598.03","12.23","33.45","28.52"
"2026-03-25T04:00:00.000Z","589.14","591.37","585.69","587.82","60,475,491","-150.52","601.81","585.90","605.49","610.67","-6.19","-4.75","-1.44","597.17","14.04","31.68","29.24"
"2026-03-26T04:00:00.000Z","582.60","584.63","573.43","573.79","81,492,124","-233.11","600.50","580.81","604.01","609.89","-7.30","-5.26","-2.04","596.27","12.64","37.01","30.66"
"2026-03-27T04:00:00.000Z","570.81","571.02","561.57","562.58","82,702,240","-304.90","599.23","568.19","602.34","608.94","-8.97","-6.00","-2.97","593.43","11.58","42.03","32.53"
"2026-03-30T04:00:00.000Z","567.38","568.05","555.60","558.28","70,602,622","-297.92","597.78","560.43","600.75","608.01","-10.52","-6.91","-3.62","590.23","10.61","42.52","34.49"
"2026-03-31T04:00:00.000Z","564.29","578.64","564.21","577.18","95,877,997","-185.86","596.97","567.73","599.52","607.41","-10.11","-7.55","-2.57","587.27","15.94","37.05","34.87"
