"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (50,C,ma,0)-2","MA ma (2,C,ma,0)","MA ma (200,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"2025-10-23T04:00:00.000Z","604.91","611.37","604.52","610.58","42,844,298","93.65","590.01","608.04","533.48","4.92","5.14","-0.2148","17.77","25.22","18.39"
"2025-10-24T04:00:00.000Z","615.99","618.42","615.13","617.10","47,632,473","140.61","590.75","613.84","533.99","5.49","5.21","0.2837","22.63","23.52","17.21"
"2025-10-27T04:00:00.000Z","624.52","628.55","624.03","628.09","54,098,611","199.48","591.76","622.60","534.55","6.75","5.52","1.24","28.94","21.27","17.08"
"2025-10-28T04:00:00.000Z","630.36","634.68","629.25","632.92","61,195,733","229.07","592.88","630.51","535.18","8.05","6.03","2.02","32.53","20.08","17.55"
"2025-10-29T04:00:00.000Z","635.59","637.01","630.25","635.77","67,422,806","231.38","594.21","634.35","535.83","9.20","6.66","2.54","32.64","18.91","18.20"
"2025-10-30T04:00:00.000Z","632.17","633.50","625.94","626.05","61,628,621","182.32","595.41","630.91","536.44","9.22","7.17","2.05","29.91","20.99","18.15"
"2025-10-31T04:00:00.000Z","634.17","634.20","626.69","629.07","66,305,147","177.79","596.73","627.56","537.00","9.37","7.61","1.76","28.43","19.53","18.18"
"2025-11-03T05:00:00.000Z","635.11","635.82","629.85","632.08","37,154,307","179.61","597.93","630.58","537.59","9.63","8.02","1.61","28.17","18.39","18.38"
"2025-11-04T05:00:00.000Z","623.28","626.95","618.46","619.25","63,830,768","104.01","598.91","625.67","538.08","8.69","8.15","0.5411","25.00","25.74","17.17"
"2025-11-05T05:00:00.000Z","618.49","626.60","617.21","623.28","48,688,484","102.49","599.92","621.27","538.57","8.18","8.16","0.0247","23.07","24.78","16.20"
"2025-11-06T05:00:00.000Z","621.79","622.04","610.30","611.67","72,115,128","50.27","600.69","617.48","538.97","6.76","7.88","-1.12","20.69","27.71","16.08"
"2025-11-07T05:00:00.000Z","608.31","609.95","598.67","609.74","81,835,388","-7.78","601.34","610.71","539.36","5.42","7.39","-1.97","18.62","33.88","17.00"
"2025-11-10T05:00:00.000Z","618.92","624.31","616.89","623.23","55,919,931","88.38","602.40","616.49","539.83","5.38","6.99","-1.60","27.23","30.24","16.16"
"2025-11-11T05:00:00.000Z","620.57","622.72","617.52","621.57","44,868,841","77.77","603.52","622.40","540.36","5.16","6.62","-1.46","26.05","28.92","15.38"
"2025-11-12T05:00:00.000Z","624.84","624.86","617.81","621.08","47,444,384","77.15","604.54","621.33","540.86","4.89","6.27","-1.39","26.28","27.34","14.42"
"2025-11-13T05:00:00.000Z","617.54","618.12","606.08","608.40","71,333,634","5.96","605.20","614.74","541.30","3.61","5.74","-2.13","23.36","33.00","14.62"
"2025-11-14T05:00:00.000Z","599.55","613.35","597.17","608.86","80,087,291","-25.81","605.86","608.63","541.73","2.60","5.11","-2.51","20.68","35.53","15.46"
"2025-11-17T05:00:00.000Z","606.30","612.48","599.87","603.66","63,850,367","-34.65","606.35","606.26","542.13","1.36","4.36","-3.00","18.87","32.41","16.24"
"2025-11-18T05:00:00.000Z","599.62","602.31","591.34","596.31","83,327,279","-94.30","606.67","599.99","542.52","-0.2058","3.45","-3.65","17.28","35.52","17.55"
"2025-11-19T05:00:00.000Z","597.07","606.16","594.59","599.87","73,111,487","-70.83","607.05","598.09","542.90","-1.15","2.53","-3.68","18.54","32.73","18.27"
"2025-11-20T05:00:00.000Z","611.62","614.03","584.75","585.67","117,743,195","-109.53","607.08","592.77","543.20","-3.01","1.42","-4.43","15.26","32.88","19.58"
"2025-11-21T05:00:00.000Z","587.47","596.98","580.74","590.07","103,344,155","-146.08","607.15","587.87","543.50","-4.08","0.3218","-4.40","13.81","32.10","21.03"
