date,close
1949-06-30,174.58
1949-07-31,176.98
1949-08-31,184.57
1949-09-30,187.98
1949-10-31,192.54
1949-11-30,198.61
1949-12-31,201.01
1950-01-31,205.06
1950-02-28,208.73
1950-03-31,215.18
1950-04-30,218.60
1950-05-31,218.98
1950-06-30,217.71
1950-07-31,218.60
1950-08-31,221.89
1950-09-30,225.30
1950-10-31,229.98
1950-11-30,237.83
1950-12-31,242.13
1951-01-31,246.93
1951-02-28,254.14
1951-03-31,255.79
1951-04-30,255.16
1951-05-31,252.37
1951-06-30,256.67
1951-07-31,260.60
1951-08-31,267.30
1951-09-30,269.20
1951-10-31,267.17
1951-11-30,267.55
1951-12-31,268.82
1952-01-31,267.93
1952-02-29,266.80
1952-03-31,265.78
1952-04-30,265.91
1952-05-31,271.22
1952-06-30,275.14
1952-07-31,278.56
1952-08-31,276.54
1952-09-30,276.79
1952-10-31,280.71
1952-11-30,284.13
1952-12-31,289.94
1953-01-31,288.30
1953-02-28,284.63
1953-03-31,280.71
1953-04-30,277.04
1953-05-31,272.99
1953-06-30,272.61
1953-07-31,270.72
1953-08-31,269.83
1953-09-30,272.99
1953-10-31,276.54
1953-11-30,284.00
1953-12-31,289.19
1954-01-31,294.63
1954-02-28,305.50
1954-03-31,311.83
1954-04-30,322.08
1954-05-31,333.97
1954-06-30,340.29
1954-07-31,345.48
1954-08-31,349.65
1954-09-30,361.54
1954-10-31,376.47
1954-11-30,385.45
1954-12-31,400.89
1955-01-31,409.74
1955-02-28,415.56
1955-03-31,419.61
1955-04-30,431.37
1955-05-31,443.39
1955-06-30,448.20
1955-07-31,462.62
1955-08-31,464.26
1955-09-30,465.65
1955-10-31,470.34
1955-11-30,476.03
1955-12-31,486.65
