"Date","Value"
"10/31/1972",955.52
"11/30/1972",1018.21
"12/29/1972",1020.02
"01/31/1973",999.02
"02/28/1973",955.07
"03/30/1973",951.01
"04/30/1973",921.43
"05/31/1973",901.41
"06/29/1973",891.71
"07/31/1973",926.4
"08/31/1973",887.57
"09/28/1973",947.1
"10/31/1973",956.58
"11/30/1973",822.25
"12/31/1973",850.86
"01/31/1974",855.55
"02/28/1974",860.53
"03/29/1974",846.68
"04/30/1974",836.75
"05/31/1974",802.17
"06/28/1974",802.41
"07/31/1974",757.43
"08/30/1974",678.58
"09/30/1974",607.87
"10/31/1974",665.52
"11/29/1974",618.66
"12/31/1974",616.24
"01/31/1975",703.69
"02/28/1975",739.05
"03/31/1975",768.15
"04/30/1975",821.34
"05/30/1975",832.29
"06/30/1975",878.99
"07/31/1975",831.51
"08/29/1975",835.34
"09/30/1975",793.88
"10/31/1975",836.04
"11/28/1975",860.67
"12/31/1975",852.41
"01/30/1976",975.28
"02/27/1976",972.61
"03/31/1976",999.45
"04/30/1976",996.85
"05/28/1976",975.23
"06/30/1976",1002.78
"07/30/1976",984.64
"08/31/1976",973.74
"09/30/1976",990.19
"10/29/1976",964.93
"11/30/1976",947.22
"12/31/1976",1004.65
"01/31/1977",954.37
"02/28/1977",936.42
"03/31/1977",919.13
"04/29/1977",926.9
"05/31/1977",898.66
"06/30/1977",916.3
"07/29/1977",890.07
"08/31/1977",861.49
"09/30/1977",847.11
"10/31/1977",818.35
"11/30/1977",829.7
"12/30/1977",831.17
"01/31/1978",769.92
"02/28/1978",742.12
"03/31/1978",757.36
"04/28/1978",837.32
"05/31/1978",840.61
"06/30/1978",818.95
"07/31/1978",862.27
"08/31/1978",876.82
"09/29/1978",865.82
"10/31/1978",792.45
"11/30/1978",799.03
"12/29/1978",805.01
"01/31/1979",839.22
"02/28/1979",808.82
"03/30/1979",862.18
"04/30/1979",854.9
"05/31/1979",822.33
"06/29/1979",841.98
"07/31/1979",846.42
"08/31/1979",887.63
"09/28/1979",878.58
"10/31/1979",815.7
"11/30/1979",822.35
"12/31/1979",838.74
"01/31/1980",875.85
"02/29/1980",863.14
"03/31/1980",785.75
"04/30/1980",817.06
"05/30/1980",850.85
"06/30/1980",867.92
"07/31/1980",935.32
"08/29/1980",932.59
"09/30/1980",932.42
"10/31/1980",924.49
"11/28/1980",993.34
"12/31/1980",963.99
"01/30/1981",947.27
"02/27/1981",974.58
"03/31/1981",1003.87
"04/30/1981",997.75
"05/29/1981",991.75
"06/30/1981",976.88
"07/31/1981",952.34
"08/31/1981",881.47
"09/30/1981",849.98
"10/30/1981",852.55
"11/30/1981",888.98
"12/31/1981",875
"01/29/1982",871.1
"02/26/1982",824.39
"03/31/1982",822.77
"04/30/1982",848.36
"05/28/1982",819.54
"06/30/1982",811.93
"07/30/1982",808.6
"08/31/1982",901.31
"09/30/1982",896.25
"10/29/1982",991.72
"11/30/1982",1039.28
"12/31/1982",1046.54
"01/31/1983",1075.7
"02/28/1983",1112.62
"03/31/1983",1130.03
"04/29/1983",1226.2
"05/31/1983",1199.98
"06/30/1983",1221.96
"07/29/1983",1199.22
"08/31/1983",1216.16
"09/30/1983",1233.13
"10/31/1983",1225.2
"11/30/1983",1276.02
"12/30/1983",1258.64
"01/31/1984",1220.58
"02/29/1984",1154.63
"03/30/1984",1164.89
"04/30/1984",1170.75
"05/31/1984",1104.85
"06/29/1984",1132.4
"07/31/1984",1115.28
"08/31/1984",1224.38
"09/28/1984",1206.71
"10/31/1984",1207.38
"11/30/1984",1188.94
"12/31/1984",1211.57
"01/31/1985",1286.77
"02/28/1985",1284.01
"03/29/1985",1266.78
"04/30/1985",1258.06
"05/31/1985",1315.41
"06/28/1985",1335.46
"07/31/1985",1347.45
"08/30/1985",1334.01
"09/30/1985",1328.63
"10/31/1985",1374.31
"11/29/1985",1472.13
"12/31/1985",1546.67
"01/31/1986",1570.99
"02/28/1986",1709.06
"03/31/1986",1818.61
"04/30/1986",1783.98
"05/30/1986",1876.71
"06/30/1986",1892.72
"07/31/1986",1775.31
"08/29/1986",1898.34
"09/30/1986",1767.58
"10/31/1986",1877.71
"11/28/1986",1914.23
"12/31/1986",1895.95
"01/30/1987",2158.04
"02/27/1987",2223.99
"03/31/1987",2304.69
"04/30/1987",2286.36
"05/29/1987",2291.57
"06/30/1987",2418.53
"07/31/1987",2572.07
"08/31/1987",2662.95
"09/30/1987",2596.28
"10/30/1987",1993.53
"11/30/1987",1833.55
"12/31/1987",1938.83
"01/29/1988",1958.22
"02/29/1988",2071.62
"03/31/1988",1988.06
"04/29/1988",2032.33
"05/31/1988",2031.12
"06/30/1988",2141.71
"07/29/1988",2128.73
"08/31/1988",2031.65
"09/30/1988",2112.91
"10/31/1988",2148.65
"11/30/1988",2114.51
"12/30/1988",2168.57
"01/31/1989",2342.32
"02/28/1989",2258.39
"03/31/1989",2293.62
"04/28/1989",2418.8
"05/31/1989",2480.15
"06/30/1989",2440.06
"07/31/1989",2660.66
"08/31/1989",2737.27
"09/29/1989",2692.82
"10/31/1989",2645.08
"11/30/1989",2706.27
"12/29/1989",2753.2
"01/31/1990",2590.54
"02/28/1990",2627.25
"03/30/1990",2707.21
"04/30/1990",2656.76
"05/31/1990",2876.66
"06/29/1990",2880.69
"07/31/1990",2905.2
"08/31/1990",2614.36
"09/28/1990",2452.48
"10/31/1990",2442.33
"11/30/1990",2559.65
"12/31/1990",2633.66
"01/31/1991",2736.39
"02/28/1991",2882.18
"03/28/1991",2913.86
"04/30/1991",2887.87
"05/31/1991",3027.5
"06/28/1991",2906.75
"07/31/1991",3024.82
"08/30/1991",3043.6
"09/30/1991",3016.77
"10/31/1991",3069.1
"11/29/1991",2894.68
"12/31/1991",3168.83
"01/31/1992",3223.4
"02/28/1992",3267.7
"03/31/1992",3235.5
"04/30/1992",3359.1
"05/29/1992",3396.9
"06/30/1992",3318.5
"07/31/1992",3393.8
"08/31/1992",3257.4
"09/30/1992",3271.7
"10/30/1992",3226.3
"11/30/1992",3305.2
"12/31/1992",3301.11
"01/29/1993",3310
"02/26/1993",3370.81
"03/31/1993",3435.11
"04/30/1993",3427.55
"05/28/1993",3527.43
"06/30/1993",3516.08
"07/30/1993",3539.47
"08/31/1993",3651.25
"09/30/1993",3555.12
"10/29/1993",3680.59
"11/30/1993",3683.95
"12/31/1993",3754.09
"01/31/1994",3978.36
"02/28/1994",3832.02
"03/31/1994",3635.96
"04/29/1994",3681.69
"05/31/1994",3758.37
"06/30/1994",3624.96
"07/29/1994",3764.5
"08/31/1994",3913.42
"09/30/1994",3843.19
"10/31/1994",3908.12
"11/30/1994",3739.23
"12/30/1994",3834.44
"01/31/1995",3843.86
"02/28/1995",4011.05
"03/31/1995",4157.69
"04/28/1995",4321.27
"05/31/1995",4465.14
"06/30/1995",4556.1
"07/31/1995",4708.47
"08/31/1995",4610.56
"09/29/1995",4789.08
"10/31/1995",4755.48
"11/30/1995",5074.49
"12/29/1995",5117.12
"01/31/1996",5395.3
"02/29/1996",5485.62
"03/29/1996",5587.14
"04/30/1996",5569.08
"05/31/1996",5643.18
"06/28/1996",5654.63
"07/31/1996",5528.91
"08/30/1996",5616.21
"09/30/1996",5882.17
"10/31/1996",6029.38
"11/29/1996",6521.7
"12/31/1996",6448.27
"01/31/1997",6813.09
"02/28/1997",6877.74
"03/31/1997",6583.48
"04/30/1997",7009
"05/30/1997",7331
"06/30/1997",7672.8
"07/31/1997",8222.6
"08/29/1997",7622.4
"09/30/1997",7945.3
"10/31/1997",7442.1
"11/28/1997",7823.1
"12/31/1997",7908.3
"01/30/1998",7906.5
"02/27/1998",8545.72
"03/31/1998",8799.81
"04/30/1998",9063.37
"05/29/1998",8899.95
"06/30/1998",8952.02
"07/31/1998",8883.29
"08/31/1998",7539.07
"09/30/1998",7842.62
"10/30/1998",8592.1
"11/30/1998",9116.55
"12/31/1998",9181.43
"01/29/1999",9358.83
"02/26/1999",9306.58
"03/31/1999",9786.16
"04/30/1999",10789.04
"05/28/1999",10559.74
"06/30/1999",10970.8
"07/30/1999",10655.15
"08/31/1999",10829.28
"09/30/1999",10336.95
"10/29/1999",10729.86
"11/30/1999",10877.81
"12/31/1999",11497.12
"01/31/2000",10940.53
"02/29/2000",10128.31
"03/31/2000",10921.92
"04/28/2000",10733.91
"05/31/2000",10522.33
"06/30/2000",10447.89
"07/31/2000",10521.98
"08/31/2000",11215.1
"09/29/2000",10650.92
"10/31/2000",10971.14
"11/30/2000",10414.49
"12/29/2000",10787.99
"01/31/2001",10887.36
"02/28/2001",10495.28
"03/30/2001",9878.78
"04/30/2001",10734.97
"05/31/2001",10911.94
"06/29/2001",10502.4
"07/31/2001",10522.81
"08/31/2001",9949.75
"09/28/2001",8847.56
"10/31/2001",9075.14
